case,days,miles,receipts,expected,predicted,difference,percent_error
175,4,87.0,2463.92,1413.52,1410.58,-2.9400000000000546,-0.2079913973626163
185,5,291.0,1279.7,1477.12,1485.59,8.470000000000027,0.5734131282495687
199,1,420.0,2273.6,1220.35,1202.9,-17.449999999999818,-1.4299176465767869
200,11,312.0,2072.39,1586.22,1705.9,119.68000000000006,7.544981150155721
209,13,534.0,1765.96,1881.36,2015.18,133.82000000000016,7.112939575626152
210,6,475.0,1800.71,1671.23,669.85,-1001.38,-59.91874248308133
211,11,623.0,2265.21,1739.18,1699.94,-39.24000000000001,-2.256235697282628
214,8,962.0,1929.63,1897.19,1833.56,-63.63000000000011,-3.3539076212714654
216,11,685.0,2272.75,1873.94,1792.31,-81.63000000000011,-4.3560626274053655
219,4,1124.0,2177.18,1567.43,1691.15,123.72000000000004,7.893175452811291
222,14,47.0,1667.14,1745.18,1666.29,-78.8900000000001,-4.520450612544271
236,5,569.0,1856.7,1623.81,669.85,-953.96,-58.74825256649484
238,4,886.0,2401.28,1698.0,1698.94,0.9400000000000546,0.0553592461719702
245,11,332.0,1352.48,1663.39,1673.7,10.309999999999944,0.6198185632954355
248,14,592.0,1268.36,1930.24,1915.79,-14.450000000000044,-0.7486115716180395
255,1,388.0,390.7,332.06,355.57,23.50999999999999,7.080045774859962
257,9,524.0,2367.12,1640.78,1624.68,-16.09999999999991,-0.9812406294567164
260,1,992.0,958.87,1222.41,1112.02,-110.3900000000001,-9.030521674397304
261,10,536.0,2194.42,1615.13,1653.69,38.559999999999945,2.387423922532548
262,11,1126.0,1593.03,2143.74,2248.12,104.38000000000012,4.86906061369383
266,10,976.0,2166.02,1775.03,1749.93,-25.09999999999991,-1.4140606074263482
276,9,696.0,1749.97,1649.49,1702.81,53.319999999999936,3.2325142922964027
278,12,104.0,1300.05,1779.92,1673.7,-106.22000000000004,-5.967683940851275
281,9,938.0,2224.29,1913.87,1758.56,-155.30999999999997,-8.114971236290863
282,3,471.0,288.19,535.67,624.78,89.11000000000001,16.635241846659326
290,3,781.0,1801.38,1586.21,1468.01,-118.20000000000005,-7.451724550973707
293,11,1116.0,2067.8,1987.44,1894.85,-92.59000000000016,-4.658756993921837
295,14,124.0,1064.64,1761.68,1703.02,-58.66000000000008,-3.3297761227918854
297,5,955.0,106.86,897.78,848.89,-48.88999999999999,-5.445654837488025
299,6,803.0,465.6,1012.0,1119.17,107.17000000000009,10.589920948616609
300,9,868.0,62.12,1022.81,1267.98,245.17000000000007,23.97023885179066
308,10,223.0,886.32,1305.54,1371.86,66.31999999999994,5.07989031358671
310,11,498.0,1578.39,1793.52,1839.05,45.52999999999997,2.538583344484588
311,14,127.0,988.4,1688.9,1703.02,14.11999999999989,0.8360471312688668
313,6,1193.0,2241.5,1839.47,1921.16,81.69000000000005,4.440953100621377
315,8,466.0,2064.63,1558.12,1568.41,10.290000000000193,0.6604112648576613
319,4,842.0,2464.29,1611.66,1698.94,87.27999999999997,5.415534293833685
320,13,837.0,1218.93,1921.68,1921.18,-0.5,-0.0260189001290537
322,4,1047.0,1657.68,1605.84,1565.16,-40.67999999999984,-2.533253624271399
328,1,793.0,2171.07,1421.36,1421.07,-0.2899999999999636,-0.020402994315301
329,9,368.0,495.12,847.33,956.61,109.27999999999996,12.896982285532196
333,10,1083.0,2105.36,1844.58,1843.97,-0.6099999999999,-0.033069858721221
347,4,166.0,791.52,866.18,707.88,-158.29999999999995,-18.275647094137472
352,1,43.0,2149.22,1134.47,1092.94,-41.52999999999997,-3.660740257565205
356,10,1187.0,1981.09,2013.21,1894.85,-118.36000000000011,-5.879168094734286
362,7,671.0,1297.02,1703.2,1704.06,0.8599999999999,0.0504931892907409
364,5,467.0,1243.31,1549.82,1514.4,-35.419999999999845,-2.2854266947129243
366,14,777.0,1248.61,1837.25,2098.07,260.82000000000016,14.19621717240442
371,2,301.0,769.23,731.28,572.73,-158.54999999999995,-21.68116179849031
372,12,1007.0,1353.77,1925.32,2162.03,236.71000000000024,12.294579602351831
378,5,1014.0,1853.57,1749.31,1696.72,-52.58999999999992,-3.0063282094082764
383,10,714.0,269.06,1067.81,1110.6,42.78999999999997,4.007267210458786
409,14,414.0,1919.7,1918.89,1831.92,-86.97000000000003,-4.532307740412427
412,2,933.0,1589.58,1489.99,1432.79,-57.200000000000045,-3.838951939274763
426,7,313.0,2408.02,1637.65,1634.04,-3.6100000000001273,-0.2204378224895507
430,3,692.0,450.7,748.57,751.16,2.589999999999918,0.3459930267042385
433,14,600.0,1120.05,1847.84,1915.79,67.95000000000005,3.6772664299939417
437,4,256.0,2218.74,1476.03,1443.02,-33.00999999999999,-2.236404409124475
440,11,960.0,383.64,1248.46,1175.65,-72.80999999999995,-5.831985005526804
446,3,182.0,347.82,384.77,406.36,21.590000000000032,5.611144319983375
452,13,608.0,370.89,1170.54,1396.28,225.74,19.28511627112273
463,11,667.0,2221.67,1872.89,1753.56,-119.33000000000015,-6.371436656717701
480,14,767.0,186.47,1292.77,993.55,-299.22,-23.14564849122427
487,12,958.0,2499.84,1791.69,1760.0,-31.69000000000005,-1.7687211515384944
494,14,616.0,2374.41,1828.37,1807.33,-21.039999999999964,-1.1507517624988357
495,8,752.0,1519.78,1662.92,1839.05,176.12999999999988,10.591609939143186
500,14,467.0,2176.26,1809.83,1752.03,-57.79999999999996,-3.1936701237132747
514,9,1064.0,2016.76,1810.94,1728.07,-82.87000000000012,-4.576076512750291
522,10,1192.0,23.47,1157.87,1366.61,208.74,18.02793059669911
523,7,981.0,658.85,1351.69,1253.76,-97.93000000000006,-7.245004401896889
527,3,133.0,1728.5,1373.4,1345.66,-27.74000000000001,-2.019804863841561
528,4,730.0,799.25,1250.66,1237.62,-13.040000000000193,-1.042649481074008
529,12,1070.0,1055.51,2030.76,2159.33,128.56999999999994,6.331127262699676
530,8,1185.0,554.98,1545.67,1306.91,-238.76,-15.447022973855995
535,1,481.0,1792.17,1215.84,1198.24,-17.59999999999991,-1.4475588893275355
543,12,342.0,2253.61,1659.5,1705.9,46.40000000000009,2.796022898463398
544,2,983.0,2109.93,1519.98,1549.54,29.559999999999945,1.944762431084616
549,4,11.0,312.01,426.22,303.2,-123.02000000000004,-28.863028482943086
550,12,1075.0,2328.11,1798.38,1843.97,45.58999999999992,2.535059331175832
555,5,504.0,1502.63,1628.66,1547.5,-81.16000000000008,-4.983237753736205
560,1,1105.0,1432.3,1387.17,1403.6,16.429999999999836,1.1844258454262877
571,10,643.0,2263.77,1685.92,1780.65,94.73000000000002,5.618890576065295
579,1,673.0,2026.16,1372.83,1421.07,48.24000000000001,3.513909224011714
584,11,1106.0,2250.54,2050.62,1843.97,-206.64999999999984,-10.07743999375798
585,12,452.0,816.56,1243.1,1155.05,-88.04999999999995,-7.083098704850774
590,13,1140.0,1607.8,2214.64,2239.35,24.71000000000004,1.1157569627569284
591,2,636.0,1438.19,1435.96,1459.34,23.37999999999988,1.6281790579124684
596,14,1001.0,1647.24,2080.0,2337.73,257.73,12.390865384615385
600,1,993.0,1143.58,1328.85,1264.53,-64.31999999999994,-4.840275426120325
602,11,1156.0,2231.86,1988.56,1843.97,-144.58999999999992,-7.271090638451941
605,11,654.0,1516.42,1870.43,2030.59,160.15999999999983,8.562736910763826
614,8,544.0,1279.51,1483.77,631.81,-851.96,-57.41860261361262
618,3,29.0,1632.85,1269.1,1261.41,-7.689999999999827,-0.6059412181861026
622,6,344.0,233.31,800.18,828.16,27.980000000000015,3.4967132395211107
627,4,1113.0,2103.82,1695.08,1691.15,-3.929999999999836,-0.231847464426448
636,12,1088.0,1977.91,1883.21,1903.76,20.549999999999955,1.0912219030272754
637,9,101.0,950.23,1281.64,1237.07,-44.57000000000016,-3.477575606254499
644,3,269.0,708.05,799.12,572.73,-226.39,-28.32991290419461
645,14,646.0,2418.19,1931.21,1807.33,-123.88000000000012,-6.414631241553229
650,6,930.0,1907.95,1788.75,1851.7,62.950000000000045,3.519217330538088
651,5,714.0,617.72,1164.2,1090.31,-73.8900000000001,-6.346847620683739
653,9,1063.0,2497.79,1761.94,1728.07,-33.87000000000012,-1.922312905093256
657,9,1165.0,1868.79,1945.95,1894.85,-51.100000000000136,-2.6259667514581637
661,4,1065.0,119.34,781.82,667.98,-113.84000000000005,-14.560896370008445
663,4,159.0,568.58,647.0,616.27,-30.730000000000015,-4.749613601236479
669,7,1033.0,1013.03,2119.83,2132.85,13.019999999999982,0.6142001952986788
671,4,1191.0,999.45,1478.93,1501.24,22.309999999999945,1.508523053829454
678,13,63.0,107.92,710.25,704.94,-5.309999999999945,-0.7476240760295594
679,6,170.0,476.99,600.23,624.04,23.809999999999945,3.966812721789971
680,3,870.0,413.23,795.8,726.14,-69.65999999999997,-8.753455642121132
688,4,1075.0,586.17,1023.65,1090.31,66.65999999999997,6.511991403311676
690,2,719.0,591.44,755.3,788.53,33.23000000000002,4.399576327287173
693,10,834.0,1820.8,1883.49,1787.57,-95.92000000000009,-5.092673706788997
698,9,52.0,350.58,601.81,805.12,203.3100000000001,33.783087685482144
714,14,555.0,313.73,1201.26,1396.28,195.02,16.23462031533556
715,7,738.0,730.28,1429.72,1090.35,-339.3700000000001,-23.7368156002574
717,5,831.0,432.8,901.36,951.92,50.559999999999945,5.609301499955617
722,9,13.0,986.41,1271.52,1237.07,-34.450000000000045,-2.7093557317226664
738,12,296.0,326.83,981.72,676.38,-305.34000000000003,-31.102554699914435
741,10,532.0,1223.36,1631.49,1561.41,-70.07999999999993,-4.295459978302039
742,14,595.0,2140.61,1989.13,1980.99,-8.1400000000001,-0.4092241331637499
750,9,1079.0,1981.94,1763.16,1728.07,-35.090000000000146,-1.9901767281471985
754,13,564.0,2245.56,1745.09,1752.03,6.940000000000055,0.397687225300704
762,5,332.0,218.03,801.73,686.23,-115.5,-14.406346276177764
765,6,522.0,1210.87,1577.01,1550.04,-26.970000000000027,-1.710198413453309
768,14,999.0,619.42,1510.57,1696.86,186.29,12.332430804265936
788,12,1046.0,1850.85,1875.72,1899.69,23.970000000000027,1.2779092828353926
801,7,150.0,1379.35,1500.09,1461.33,-38.75999999999999,-2.583844969301841
803,7,568.0,159.12,738.92,703.45,-35.469999999999914,-4.80024901207166
811,13,774.0,206.45,1110.0,993.55,-116.45000000000005,-10.490990990990994
812,5,1120.0,1514.91,1658.97,1702.81,43.83999999999992,2.6426035431623185
817,13,1199.0,493.0,1634.13,1447.39,-186.74,-11.427487409202447
821,9,444.0,725.31,1062.52,1154.77,92.25,8.682189511726838
823,4,238.0,1707.28,1483.48,1455.37,-28.110000000000127,-1.8948688219591856
824,2,299.0,1612.7,1282.8,1279.31,-3.490000000000009,-0.2720611163080768
827,7,636.0,697.02,1276.06,1375.88,99.82000000000016,7.822516182624654
830,12,601.0,2166.56,1918.46,1699.94,-218.52,-11.390386038801957
838,5,905.0,2317.31,1691.38,1791.96,100.57999999999991,5.946623467227939
846,8,867.0,2373.39,1747.22,1719.37,-27.850000000000136,-1.5939606918419051
850,5,1010.0,2054.21,1810.37,1696.72,-113.64999999999986,-6.277722233576554
860,9,482.0,1348.44,1633.26,1630.47,-2.789999999999964,-0.170823996179418
866,10,895.0,937.46,1714.8,1575.52,-139.27999999999997,-8.122229997667366
867,13,858.0,2258.01,1889.71,1944.88,55.17000000000007,2.919495583978498
868,11,650.0,524.8,1179.09,1113.16,-65.92999999999984,-5.591600301927745
880,4,231.0,20.39,499.26,570.99,71.73000000000002,14.367263550054084
884,7,316.0,141.89,837.8,703.45,-134.3499999999999,-16.036046789209827
885,2,897.0,2382.39,1437.95,1485.4,47.450000000000045,3.2998365728989216
893,4,84.0,2243.12,1392.1,1394.55,2.450000000000045,0.1759931039436854
894,5,716.0,1316.6,1686.98,1777.14,90.16000000000008,5.344461700790767
900,11,273.0,502.37,862.61,897.26,34.64999999999998,4.01687900673537
902,1,620.0,490.45,678.74,644.12,-34.620000000000005,-5.100627633556297
903,5,659.0,2083.15,1645.06,1785.53,140.47000000000003,8.538898277266485
915,1,931.0,327.97,609.73,644.12,34.389999999999986,5.640201400619945
918,5,517.0,919.25,1288.31,1324.64,36.33000000000016,2.819973453594256
925,11,198.0,269.95,695.66,966.87,271.21000000000004,38.9859989075123
937,1,780.0,366.37,516.69,644.12,127.42999999999996,24.6627571658054
939,8,936.0,556.28,1277.26,1253.76,-23.5,-1.8398759845293835
942,9,191.0,789.52,1058.5,1077.35,18.84999999999991,1.7808219178082103
943,3,280.0,1090.37,1256.92,1279.31,22.389999999999876,1.7813385100085823
948,4,263.0,2469.06,1503.98,1483.58,-20.40000000000009,-1.356401015970963
949,4,932.0,1287.34,1513.28,1501.24,-12.039999999999964,-0.7956227532247808
960,13,997.0,920.48,2124.16,1752.72,-371.4399999999998,-17.48644169930701
974,9,14.0,1057.38,1372.31,1192.88,-179.42999999999984,-13.075034066646737
975,4,184.0,983.77,1202.69,1116.8,-85.8900000000001,-7.141491157322344
978,1,389.0,1964.96,1228.94,1202.9,-26.039999999999964,-2.11889921395674
979,3,1136.0,1296.54,1536.6,1462.01,-74.58999999999992,-4.854223610568783
986,7,1109.0,2397.29,1917.57,1833.27,-84.29999999999995,-4.396188926610239
987,12,643.0,2194.16,1758.03,1807.33,49.29999999999996,2.804275239899203
990,3,992.0,1897.41,1539.0,1539.47,0.4700000000000273,0.0305393112410674
996,1,1082.0,1809.49,446.94,1465.9,1018.96,227.985859399472
999,8,413.0,222.83,802.95,828.16,25.209999999999923,3.139672457811809
